year,make,model,price,mileage,Miles per gallon,cylinders,fuel,Drive type,Transmission,Color,Bed Length,Motor,Reported by AutoCheck® View History Report,31 City / 40 Hwy,Coverage up to 150000 odometer miles or 48 months Learn More,Prior Use,"Under 20,000 Miles","Balance of 3 Years or 36,000 Miles may apply. See store for details Learn More",Coverage up to 150000 odometer miles or 60 months Learn More,"Third Row Seat, Automated Cruise Control, Leather Seats, Sunroof(s), Apple CarPlay",29 City / 37 Hwy,Range (when new),Time to fully charge battery (240V),"Less than 9,000 miles per year",27 City / 36 Hwy,Take a closer look at the interior and exterior condition of this car. View Photos
2019,Honda,HR-V Sport,21998,18000,26 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX,27998,31000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX,27998,19000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2016,Honda,Civic LX,18998,55000,31 city/41 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2019,Honda,Accord Sport,23998,67000,29 city/35 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2016,Honda,CR-V EX,24998,12000,25 city/31 hwy,,,,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2020,Honda,Accord Sport,25998,47000,22 city/32 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2013,Honda,Odyssey EX-L,17998,89000,18 city/27 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2019,Honda,CR-V EX-L,27998,16000,28 city/34 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2023,Honda,Ridgeline RTL,37998,9000,18 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Black/Black,5 ft,,,,,,,,,,,,,,,
2016,Honda,CR-V EX,15998,112000,26 city/33 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2019,Honda,CR-V EX,27998,10000,27 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2014,Honda,CR-V LX,14998,88000,23 city/31 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2022,Honda,Civic Sport,24998,44000,30 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2019,Honda,Accord LX,21998,58000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2020,Honda,Pilot EX-L,27998,47000,18 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2022,Honda,Civic Sport,25998,34000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Red/Black,,,,,,,,,,,,,,,,
2021,Honda,Civic EX,25998,32000,31 city/40 hwy,,,,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2024,Honda,HR-V Sport,28998,8000,25 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2018,Honda,Civic EX,17998,84000,31 city/40 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2017,Honda,Pilot EX-L,25998,60000,18 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2021,Honda,Civic EX,23998,35000,31 city/40 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2016,Honda,Accord Touring,20998,47000,21 city/34 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2020,Honda,Civic LX,21998,13000,30 city/38 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2018,Honda,CR-V EX,23998,34000,27 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2022,Honda,HR-V Sport,21998,50000,27 city/29 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2023,Honda,Accord Hybrid Sport,28998,33000,46 city/41 hwy,4-cyl,Hybrid,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2013,Honda,Civic LX,14998,88000,28 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Tan,,,,,,,,,,,,,,,,
2016,Honda,CR-V EX-L,21998,57000,25 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2015,Honda,CR-V LX,16998,69000,26 city/33 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Burgundy/Gray,,,,,,,,,,,,,,,,
2020,Honda,Civic EX-L,24998,11000,32 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2015,Honda,Civic LX,17998,47000,28 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Manual 5 Speed,Silver/Gray,,,,,,,,,,,,,,,,
2021,Honda,Insight EX,24998,23000,55 city/49 hwy,4-cyl,Hybrid,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2019,Honda,Civic LX,20998,19000,30 city/38 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2019,Honda,Accord Sport,24998,41000,29 city/35 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2022,Honda,HR-V Sport,22998,30000,27 city/29 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2019,Honda,HR-V EX,20998,58000,26 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2016,Honda,CR-V SE,16998,92000,25 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2022,Honda,Accord Hybrid ,27998,27000,48 city/47 hwy,4-cyl,Hybrid,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2022,Honda,Accord LX,23998,42000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Red/Gray,,,,,,,,,,,,,,,,
2019,Honda,CR-V EX-L,25998,34000,27 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Red/Gray,,,,,,,,,,,,,,,,
2014,Honda,CR-V LX,13998,125000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX,26998,27000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2024,Honda,Prologue EX,40998,7000,,,,All Wheel Drive,,White/Gray,,Electric,,,,,,,,,,,,,,
2015,Honda,CR-V Touring,19998,72000,26 city/33 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2022,Honda,Pilot EX-L,33998,30000,19 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2015,Honda,Accord LX,14998,121000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2022,Honda,Accord Sport SE,30998,2000,29 city/35 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2019,Honda,Accord Sport,23998,54000,29 city/35 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2018,Honda,Accord EX,18998,120000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2017,Honda,Ridgeline RTL-T,22998,81000,18 city/25 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,5 ft,,,,,,,,,,,,,,,
2014,Honda,CR-V LX,14998,110000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Brown/Black,,,,,,,,,,,,,,,,
2015,Honda,CR-V EX-L,15998,120000,26 city/33 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2022,Honda,CR-V Hybrid Touring,34998,32000,,4-cyl,Hybrid,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2019,Honda,Odyssey Elite,35998,36000,19 city/28 hwy,,,,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2021,Honda,CR-V EX-L,30998,22000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2013,Honda,Ridgeline Sport,18998,106000,15 city/21 hwy,6-cyl,Gas,Four Wheel Drive,Automatic,White/Gray,5 ft,,,,,,,,,,,,,,,
2014,Honda,Accord LX,14998,109000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2015,Honda,Accord CrossTour EX-L,18998,90000,20 city/29 hwy,,,,Automatic,Black/Black,,,,,,,,,,,,,,,,
2020,Honda,Accord Sport,26998,21000,29 city/35 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2021,Honda,Accord Sport,29998,21000,22 city/32 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2020,Honda,Civic Sport,21998,54000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2021,Honda,HR-V Sport,24998,23000,26 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2018,Honda,Civic Type-R Touring,33998,58000,22 city/28 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,White/Red,,,,,,,,,,,,,,,,
2013,Honda,Civic EX-L,15998,81000,28 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2013,Honda,Pilot EX-L,17998,94000,18 city/25 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX,24998,62000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2021,Honda,Ridgeline Sport,31998,19000,18 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Silver/Black,5 ft,,,,,,,,,,,,,,,
2016,Honda,Odyssey EX-L,20998,97000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2017,Honda,Odyssey EX-L,20998,108000,19 city/27 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Burgundy/Tan,,,,,,,,,,,,,,,,
2015,Honda,CR-V LX,18998,52000,26 city/33 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2017,Honda,Fit LX,15998,92000,33 city/40 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Red/Black,,,,,,,,,,,,,,,,
2020,Honda,Accord EX,26998,32000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2016,Honda,Civic EX-T,19998,67000,31 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2023,Honda,HR-V LX,23998,38000,26 city/32 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2016,Honda,Odyssey Touring Elite,21998,109000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Burgundy/Gray,,,,,,,,,,,,,,,,
2022,Honda,Ridgeline RTL-E,34998,43000,18 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Blue/Gray,5 ft,,,,,,,,,,,,,,,
2014,Honda,Accord EX,15998,114000,24 city/34 hwy,,,,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2015,Honda,CR-V EX,17998,93000,26 city/33 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2022,Honda,CR-V EX,27998,26000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Burgundy/Gray,,,,,,,,,,,,,,,,
2019,Honda,Odyssey EX-L,28998,57000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2022,Honda,Accord Sport,28998,38000,29 city/35 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2013,Honda,Accord EX-L,16998,111000,21 city/34 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2020,Honda,Odyssey EX,23998,105000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2020,Honda,Accord EX,24998,46000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2021,Honda,Civic Sport,23998,41000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Red/Black,,,,,,,,,,,,,,,,
2013,Honda,Accord LX,15998,108000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2012,Honda,Accord LX,13599,105000,23 city/34 hwy,4-cyl,Gas,Front Wheel Drive,Manual 5 Speed,Gray/Black,,,,,,,,,,,,,,,,
2018,Honda,Accord EX,22998,50000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Tan/Tan,,,,,,,,,,,,,,,,
2014,Honda,Odyssey EX,15998,117000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Brown/Gray,,,,,,,,,,,,,,,,
2022,Honda,Civic Sport,24998,35000,30 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Blue,,,,,,,,,,,,,,,,
2013,Honda,CR-V EX-L,16998,89000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Tan,,,,,,,,,,,,,,,,
2018,Honda,Accord LX,22998,31000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2018,Honda,Civic EX-T,20998,42000,31 city/40 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Gray,,,,,,,,,,,,,,,,
2018,Honda,Odyssey Elite,27998,80000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Taupe,,,,,,,,,,,,,,,,
2022,Honda,CR-V Hybrid Touring,36998,10000,,4-cyl,Hybrid,All Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2024,Honda,CR-V EX-L,35998,3000,28 city/34 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2022,Honda,Civic SI,27998,53000,27 city/37 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,Gray/Red,,,,,,,,,,,,,,,,
2021,Honda,Pilot Touring,30998,57000,19 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,White/Gray,,,,,,,,,,,,,,,,
2022,Honda,HR-V LX,22998,25000,28 city/34 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2022,Honda,Accord Sport,28998,18000,29 city/35 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2020,Honda,Accord LX,23998,32000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Red/Tan,,,,,,,,,,,,,,,,
2018,Honda,Accord Touring,25998,40000,22 city/32 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2015,Honda,Fit EX,15998,71000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Manual 6 Speed,Gray/Black,,,,,,,,,,,,,,,,
2022,Honda,Civic Sport Touring,27998,20000,30 city/37 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2013,Honda,Accord LX,16998,77000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2017,Honda,CR-V EX,20998,77000,27 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2013,Honda,Pilot EX-L,14998,120000,17 city/24 hwy,6-cyl,Gas,Four Wheel Drive,Automatic,White/Gray,,,,,,,,,,,,,,,,
2019,Honda,Fit LX,19998,28000,33 city/40 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2020,Honda,Ridgeline RTL,30998,18000,19 city/26 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,5 ft,,,,,,,,,,,,,,,
2014,Honda,CR-V EX-L,17998,89000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2019,Honda,Accord EX-L,22998,86000,23 city/34 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2020,Honda,Passport Touring,30998,28000,19 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2016,Honda,CR-V Touring,20998,72000,25 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2019,Honda,Odyssey Elite,28998,94000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Brown/Black,,,,,,,,,,,,,,,,
2018,Honda,Accord EX-L,20998,98000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2021,Honda,Civic LX,22998,13000,30 city/38 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2018,Honda,Civic EX,18998,82000,31 city/40 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,Single Owner,Fuel Efficient,Optional MaxCare® plan,None,,,,,,,,,,
2022,Honda,CR-V EX-L,32998,13000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,,,Single Owner,,,None,Low Mileage,Manufacturer Warranty,,,,,,,,
2014,Honda,Pilot LX,15998,125000,17 city/24 hwy,6-cyl,Gas,Four Wheel Drive,Automatic,Black/Cream,,,,,,,,,,,,,,,,
2017,Honda,Pilot EX-L,23998,82000,18 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2016,Honda,Civic EX,15998,128000,31 city/41 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2016,Honda,Pilot EX-L,21998,96000,18 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Black/Gray,,,,,,,,,,,,,,,,
2022,Honda,HR-V LX,23998,22000,27 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2016,Honda,Pilot EX-L,20998,94000,18 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2013,Honda,Accord EX-L,15998,102000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2023,Honda,Accord LX,25998,21000,29 city/37 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Red/Tan,,,,,,,,,,,,,,,,
2014,Honda,CR-V EX-L,15998,115000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2019,Honda,Fit EX,21998,14000,29 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Red/Black,,,,,,,,,,,,,,,,
2015,Honda,Civic LX,17998,44000,30 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2021,Honda,Civic Sport Touring,27998,21000,29 city/35 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Gray,,,,,,,,,,,,,,,,
2013,Honda,Accord EX-L,18998,72000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Tan,,,,,,,,,,,,,,,,
2024,Honda,CR-V LX,30998,16000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2019,Honda,Civic LX,20998,33000,30 city/38 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2016,Honda,Civic LX,15998,104000,31 city/41 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
