year,make,model,price,mileage,Miles per gallon,cylinders,fuel,Drive type,Transmission,Color,Bed Length,Motor,Reported by AutoCheck® View History Report,31 City / 40 Hwy,Coverage up to 150000 odometer miles or 48 months Learn More,Prior Use,"Under 20,000 Miles","Balance of 3 Years or 36,000 Miles may apply. See store for details Learn More",Coverage up to 150000 odometer miles or 60 months Learn More,"Third Row Seat, Automated Cruise Control, Leather Seats, Sunroof(s), Apple CarPlay",29 City / 37 Hwy,Range (when new),Time to fully charge battery (240V),"Less than 9,000 miles per year",27 City / 36 Hwy,Take a closer look at the interior and exterior condition of this car. View Photos
2018,Honda,Pilot EX,18998,102000,19 city/27 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Black/Gray,,,,,,,,,,,,,,,,
2015,Honda,CR-V LX,16998,93000,26 city/33 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2021,Honda,Civic EX,22998,48000,32 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2022,Honda,Pilot Trailsport,38998,16000,19 city/25 hwy,6-cyl,Gas,All Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2021,Honda,Accord Sport,26998,58000,22 city/32 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2014,Honda,CR-V EX-L,18998,74000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2023,Honda,Accord LX,25998,26000,29 city/37 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Red/Gray,,,,,,,,,,,,,,,,
2016,Honda,CR-V EX,19998,77000,25 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Burgundy/Gray,,,,,,,,,,,,,,,,
2016,Honda,Accord Sport,18998,90000,26 city/35 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2022,Honda,Accord Sport SE,27998,33000,29 city/35 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2024,Honda,Civic Type R,51998,2000,22 city/28 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,White/Red,,,,,,,,,,,,,,,,
2020,Honda,Accord LX,23998,33000,30 city/38 hwy,,,,Automatic,Black/Black,,,,,,,,,,,,,,,,
2014,Honda,Civic LX,18998,11000,30 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2020,Honda,Civic SI,24998,56000,26 city/36 hwy,,,,Manual 6 Speed,Gray/Black,,,,,,,,,,,,,,,,
2016,Honda,CR-V EX,16998,97000,26 city/32 hwy,,,,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2016,Honda,CR-V LX,14998,100000,25 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2016,Honda,Civic EX,16998,102000,31 city/41 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2019,Honda,Civic LX,16998,91000,30 city/38 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX,25998,38000,28 city/34 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2018,Honda,Civic EX,19998,87000,31 city/40 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2015,Honda,Accord EX-L,15998,116000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX,26998,31000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2020,Honda,Civic Sport,20998,58000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2022,Honda,HR-V EX,22998,40000,27 city/29 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Black,,,Single Owner,,,None,,,Optional MaxCare® plan,,,,,,,
2013,Honda,Accord EX,17998,55000,24 city/34 hwy,,,,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2018,Honda,Civic Sport,18998,90000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX-L,27998,38000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2021,Honda,CR-V EX,27998,26000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2020,Honda,Odyssey EX-L,32998,49000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2019,Honda,CR-V EX-L,26998,39000,27 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2017,Honda,Accord EX,17998,105000,27 city/36 hwy,,,,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2015,Honda,Accord EX,14998,124000,27 city/36 hwy,,,,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2015,Honda,Accord EX-L,17998,77000,23 city/34 hwy,,,,Automatic,Burgundy/Tan,,,,,,,,,,,,,,,,
2018,Honda,CR-V EX,19998,96000,27 city/33 hwy,,,,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2016,Honda,CR-V EX,20998,41000,25 city/31 hwy,,,,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2018,Honda,Accord LX,21998,58000,30 city/38 hwy,,,,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2020,Honda,Accord Hybrid Touring,25998,69000,48 city/47 hwy,4-cyl,Hybrid,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2019,Honda,Civic LX,21998,7000,30 city/38 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Cream,,,,,,,,,,,,,,,,
2024,Honda,Civic Type R,49998,3000,22 city/28 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,White/Red,,,,,,,,,,,,,,,,
2024,Honda,Civic Type R,46998,7000,22 city/28 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,White/Red,,,,,,,,,,,,,,,,
2014,Honda,Pilot Touring,19998,95000,17 city/24 hwy,6-cyl,Gas,Four Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX-L,26998,50000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Red/Gray,,,,,,,,,,,,,,,,
2022,Honda,HR-V LX,23998,24000,28 city/34 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2021,Honda,CR-V EX-L,27998,57000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2019,Honda,HR-V LX,18998,71000,27 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2014,Honda,Civic LX,13599,127000,30 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2019,Honda,Passport Elite,20998,114000,19 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2018,Honda,Accord Touring,24998,57000,22 city/32 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Red/Taupe,,,,,,,,,,,,,,,,
2017,Honda,CR-V LX,19998,72000,25 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2019,Honda,CR-V EX-L,24998,57000,27 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Tan/Tan,,,,,,,,,,,,,,,,
2013,Honda,Pilot EX-L,16998,113000,17 city/24 hwy,6-cyl,Gas,Four Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2014,Honda,CR-V LX,16998,73000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2024,Honda,Prologue Elite,47998,1000,,,,All Wheel Drive,,Black/Black,,Electric,,,,,,,,,,,,,,
2025,Honda,CR-V Hybrid Sport-L,41998,1000,40 city/34 hwy,4-cyl,Hybrid,All Wheel Drive,Automatic,Red/Black,,,,,,,,,,,,,,,,
2016,Honda,Civic EX-T,16998,111000,31 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2017,Honda,Civic EX,19998,70000,31 city/40 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2018,Honda,Pilot EX-L,22998,91000,18 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2020,Honda,Civic LX,21998,42000,31 city/40 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2018,Honda,CR-V LX,19998,70000,26 city/32 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Gray,,,,,,,,,,,,,,,,
2022,Honda,Civic Sport,26998,17000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2024,Honda,CR-V Hybrid Sport-L,38998,3000,40 city/34 hwy,4-cyl,Hybrid,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2019,Honda,Civic Sport,20998,76000,25 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Manual 6 Speed,Black/Black,,,,,,,,,,,,,,,,
2022,Honda,Accord Hybrid ,27998,13000,48 city/47 hwy,4-cyl,Hybrid,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2017,Honda,Accord Sport,19998,82000,26 city/34 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2016,Honda,Civic LX,15998,98000,31 city/41 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2015,Honda,Odyssey EX-L,17998,126000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2017,Honda,Accord Touring,20998,97000,21 city/33 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2020,Honda,Civic Sport,21998,62000,25 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Manual 6 Speed,Gray/Black,,,,,,,,,,,,,,,,
2012,Honda,Pilot LX,14998,109000,17 city/24 hwy,6-cyl,Gas,Four Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2022,Honda,Ridgeline RTL-E,34998,32000,18 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Brown/Black,,,,,,,,,,,,,,,,
2021,Honda,CR-V LX,23998,48000,28 city/34 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2022,Honda,Civic LX,22998,25000,31 city/40 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Tan,,,,,,,,,,,,,,,,
2015,Honda,Civic EX,14998,120000,30 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2019,Honda,Odyssey EX-L,32998,17000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,None,Low Mileage,,Optional MaxCare® plan,Well-Equipped,,,,,,
2020,Honda,Civic Sport,21998,56000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,"Prior theft history, Prior theft history",,,Optional MaxCare® plan,,Fuel Efficient,,,,,
2021,Honda,CR-V EX,29998,18000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2021,Honda,Civic EX-L,22998,54000,32 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2024,Honda,Prologue Touring,44998,5000,,,,All Wheel Drive,,Silver/Black,,Electric,,,,,,,,,,,,,,
2021,Honda,HR-V LX,21998,27000,28 city/34 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2018,Honda,CR-V EX,19998,92000,27 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Red/Tan,,,,,,,,,,,,,,,,
2024,Honda,Accord Hybrid Sport-L,33998,5000,46 city/41 hwy,4-cyl,Hybrid,Front Wheel Drive,Automatic,Red/Black,,,,,,,,,,,,,,,,
2023,Honda,Civic Sport,26998,13000,26 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2024,Honda,Prologue Touring,44998,2000,,,,All Wheel Drive,,Silver/Black,,Electric,,,,,,,,,,,,,,
2022,Honda,Civic Sport Touring,26998,54000,30 city/37 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2023,Honda,HR-V Sport,27998,6000,26 city/32 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2014,Honda,Civic LX,18998,22000,30 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2022,Honda,Accord Sport SE,27998,27000,29 city/35 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2023,Honda,Odyssey EX-L,38998,11000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,White/Gray,,,,,,,,,,,,,,,,
2024,Honda,Prologue Touring,44998,4000,,,,All Wheel Drive,,Blue/Black,,Electric,,,,,,,,,,,,,,
2021,Honda,Pilot EX-L,27998,56000,20 city/27 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2019,Honda,Odyssey EX-L,27998,77000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Silver/Brown,,,,,,,,,,,,,,,,
2015,Honda,Accord LX,18998,53000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Tan,,,,,,,,,,,,,,,,
2024,Honda,Civic Sport,28998,3000,30 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2018,Honda,Civic EX-T,21998,34000,32 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2019,Honda,Pilot EX,21998,92000,18 city/26 hwy,,,,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2021,Honda,CR-V EX,27998,38000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2017,Honda,Accord Sport,16998,127000,26 city/34 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2017,Honda,Civic EX,18998,66000,31 city/40 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2013,Honda,Accord EX-L,15998,92000,27 city/36 hwy,,,,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2015,Honda,Accord EX-L,17998,80000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2019,Honda,CR-V EX,27998,15000,27 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Green/Black,,,,,,,,,,,,,,,,
2016,Honda,Civic Touring,17998,93000,31 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2018,Honda,Odyssey EX-L,27998,60000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2019,Honda,CR-V EX,22998,54000,27 city/33 hwy,,,,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2019,Honda,Odyssey EX,27998,41000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2023,Honda,Civic Sport,26998,10000,30 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2018,Honda,Fit Sport,17998,70000,31 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX-L,29998,17000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2021,Honda,Odyssey Touring,37998,18000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2020,Honda,Pilot LX,26998,37000,18 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2018,Honda,Civic Type-R Touring,36998,26000,22 city/28 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,Blue/Black,,,,,,,,,,,,,,,,
2016,Honda,Civic LX,17998,44000,31 city/41 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2023,Honda,CR-V EX,30998,32000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2015,Honda,Pilot LX,15998,124000,17 city/24 hwy,6-cyl,Gas,Four Wheel Drive,Automatic,White/Gray,,,,,,,,,,,,,,,,
2017,Honda,Civic EX-T,18998,73000,31 city/40 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2016,Honda,Odyssey LX,16998,123000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2017,Honda,Accord Sport,21998,52000,26 city/34 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2020,Honda,Civic EX,24998,12000,32 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2019,Honda,Accord LX,22998,26000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Red/Gray,,,,,,,,,,,,,,,,
2013,Honda,Civic Hybrid ,13998,122000,,,,,Automatic,Black/Gray,,,,,,,,,,,,,,,,
2024,Honda,Civic Sport,26998,14000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2019,Honda,Accord LX,21998,58000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Red/Gray,,,,,,,,,,,,,,,,
2019,Honda,Accord Sport,26998,60000,22 city/32 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,White/Black,,,,,,,,,,,,,,,,
2021,Honda,Civic Type-R Touring,42998,3000,22 city/28 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,Blue/Red,,,,,,,,,,,,,,,,
2016,Honda,CR-V EX,16998,100000,25 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2022,Honda,Civic Sport,25998,18000,30 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Red/Black,,,,,,,,,,,,,,,,
2019,Honda,Pilot EX-L,26998,56000,19 city/27 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2013,Honda,Civic LX,13599,120000,28 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2016,Honda,Accord Sport,21998,36000,26 city/35 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Burgundy/Black,,,,,,,,,,,,,,,,
2017,Honda,Civic SI,19998,93000,28 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,Silver/Black,,,,,,,,,,,,,,,,
2021,Honda,Civic LX,20998,31000,30 city/38 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2020,Honda,Fit Sport,20998,33000,29 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Manual 6 Speed,Gray/Black,,,,,,,,,,,,,,,,
2022,Honda,Civic Sport,25998,24000,30 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2024,Honda,Prologue Touring,47998,1000,,,,All Wheel Drive,,Gray/Black,,Electric,,,,,,,,,,,,,,
2016,Honda,CR-V EX-L,17998,110000,25 city/31 hwy,,,,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2015,Honda,Accord LX,18998,47000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gold/Tan,,,,,,,,,,,,,,,,
2023,Honda,Civic Sport,25998,21000,30 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2020,Honda,Odyssey EX-L,30998,58000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2017,Honda,Civic LX,18998,67000,31 city/40 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2020,Honda,Civic LX,21998,17000,30 city/38 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Red/Black,,,,,,,,,,,,,,,,
2020,Honda,Accord Sport,25998,38000,29 city/35 hwy,,,,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2014,Honda,Civic EX,17998,61000,30 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2013,Honda,CR-V LX,15998,91000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Brown/Black,,,,,,,,,,,,,,,,
2018,Honda,Pilot EX-L,25998,69000,18 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
