year,make,model,price,mileage,Miles per gallon,cylinders,fuel,Drive type,Transmission,Color,Bed Length,Motor,Reported by AutoCheck® View History Report,31 City / 40 Hwy,Coverage up to 150000 odometer miles or 48 months Learn More,Prior Use,"Under 20,000 Miles","Balance of 3 Years or 36,000 Miles may apply. See store for details Learn More",Coverage up to 150000 odometer miles or 60 months Learn More,"Third Row Seat, Automated Cruise Control, Leather Seats, Sunroof(s), Apple CarPlay",29 City / 37 Hwy,Range (when new),Time to fully charge battery (240V),"Less than 9,000 miles per year",27 City / 36 Hwy,Take a closer look at the interior and exterior condition of this car. View Photos
2013,Honda,Civic Hybrid ,13998,106000,44 city/44 hwy,4-cyl,Hybrid,Front Wheel Drive,Automatic,Gray/Taupe,,,,,,,,,,,,,,,,
2017,Honda,Civic EX-L,21998,43000,31 city/40 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Tan,,,,,,,,,,,,,,,,
2024,Honda,Prologue Touring,46998,1000,,,,All Wheel Drive,,Black/Black,,Electric,,,,,,,,,,,,,,
2022,Honda,HR-V LX,22998,31000,27 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Gray,,,,,,,,,,,,,,,,
2022,Honda,CR-V Hybrid Touring,37998,10000,,4-cyl,Hybrid,All Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2012,Honda,Civic EX,16998,26000,28 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2015,Honda,CR-V EX-L,22998,31000,26 city/33 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Gray,,,,,,,,,,,,,,,,
2019,Honda,Odyssey LX,28998,38000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2016,Honda,Civic EX-T,16998,115000,31 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2019,Honda,HR-V EX,21998,41000,26 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Gray,,,,,,,,,,,,,,,,
2019,Honda,CR-V EX-L,27998,19000,27 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2021,Honda,Civic Touring,24998,22000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2021,Honda,Civic Sport,22998,46000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2020,Honda,Accord Sport,27998,30000,22 city/32 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2015,Honda,Pilot SE,15998,124000,17 city/24 hwy,6-cyl,Gas,Four Wheel Drive,Automatic,White/Gray,,,,,,,,,,,,,,,,
2016,Honda,CR-V EX,16998,103000,25 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2022,Honda,HR-V Sport,23998,21000,28 city/34 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2016,Honda,HR-V EX,17998,75000,27 city/32 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2013,Honda,Odyssey EX,16998,94000,18 city/27 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gold/Tan,,,,,,,,,,,,,,,,
2015,Honda,Pilot EX-L,16998,123000,18 city/25 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2014,Honda,Accord EX-L,17998,93000,21 city/34 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2014,Honda,Accord EX-L,15998,113000,27 city/36 hwy,,,,Automatic,Red/Tan,,,,,,,,,,,,,,,,
2013,Honda,CR-V LX,15998,89000,23 city/31 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2017,Honda,CR-V EX,20998,65000,27 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2018,Honda,Odyssey EX,23998,87000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2017,Honda,Odyssey Touring Elite,25998,76000,19 city/27 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2017,Honda,CR-V Touring,22998,47000,28 city/34 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2015,Honda,Odyssey LX,16998,103000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2023,Honda,Civic Type R,45998,8000,22 city/28 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,White/Red,,,,,,,,,,,,,,,,
2022,Honda,Civic Sport,24998,27000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2020,Honda,Pilot Touring,27998,73000,19 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2013,Honda,Civic LX,13998,120000,28 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2021,Honda,Odyssey Touring,35998,21000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2014,Honda,CR-V EX,14998,109000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2022,Honda,HR-V EX,22998,47000,27 city/29 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX,28998,11000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Burgundy/Gray,,,,,,,,,,,,,,,,
2018,Honda,HR-V EX,18998,69000,27 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2019,Honda,CR-V EX,24998,38000,28 city/34 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2022,Honda,CR-V EX,30998,12000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2020,Honda,Civic Type-R Touring,39998,30000,22 city/28 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,White/Red,,,,,,,,,,,,,,,,
2022,Honda,Civic Sport,26998,11000,30 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2022,Honda,Civic Sport,24998,44000,30 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2016,Honda,Accord Sport,17998,96000,26 city/35 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2019,Honda,Accord LX,21998,69000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2015,Honda,Odyssey EX-L,20998,92000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Burgundy/Gray,,,,,,,,,,,,,,,,
2018,Honda,Accord EX-L,24998,39000,23 city/34 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2021,Honda,Passport EX-L,29998,33000,19 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2021,Honda,Accord Sport,29998,34000,22 city/32 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Red/Black,,,,,,,,,,,,,,,,
2014,Honda,Civic SI,19998,92000,22 city/31 hwy,4-cyl,Gas,Front Wheel Drive,Manual 6 Speed,White/Red,,,,,,,,,,,,,,,,
2018,Honda,Accord Sport,23998,66000,29 city/35 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2015,Honda,Fit EX,16998,52000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Manual 6 Speed,Silver/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX-L,28998,35000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX,25998,47000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2017,Honda,Ridgeline RTL,19998,127000,18 city/25 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Burgundy/Brown,5 ft,,,,,,,,,,,,,,,
2020,Honda,CR-V LX,25998,31000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2022,Honda,Pilot EX-L,33998,23000,20 city/27 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2012,Honda,Civic LX,16998,43000,28 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2016,Honda,CR-V SE,21998,29000,25 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Burgundy/Gray,,,,,,,,,,,,,,,,
2023,Honda,Accord EX,27998,22000,29 city/37 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2022,Honda,Pilot Touring,36998,24000,20 city/27 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2017,Honda,Pilot Touring,25998,76000,19 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Burgundy/Tan,,,,,,,,,,,,,,,,
2019,Honda,Passport Touring,27998,41000,19 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2018,Honda,CR-V EX-L,20998,82000,27 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2019,Honda,Odyssey Elite,34998,49000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2017,Honda,Accord Touring,19998,105000,21 city/32 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2022,Honda,Ridgeline Black Edition,36998,17000,18 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Black/Black,5 ft,,,,,,,,,,,,,,,
2019,Honda,Civic Sport,22998,26000,29 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2020,Honda,Civic Sport,21998,60000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2018,Honda,Accord LX,22998,53000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2022,Honda,Accord Sport,30998,5000,29 city/35 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2021,Honda,Passport Touring,32998,26000,19 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2018,Honda,Civic EX-L,20998,66000,32 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Red/Black,,,,,,,,,,,,,,,,
2019,Honda,Civic EX,21998,52000,32 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX-L,28998,23000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2013,Honda,CR-V EX-L,13998,128000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2014,Honda,Accord LX,16998,74000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2020,Honda,Civic EX,23998,41000,31 city/40 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2018,Honda,Civic EX-T,20998,31000,32 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2021,Honda,Odyssey Touring,38998,26000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2021,Honda,CR-V Special Edition,27998,24000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Red/Black,,,,,,,,,,,,,,,,
2021,Honda,HR-V EX,19998,72000,26 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2021,Honda,Civic Type-R Touring,39998,22000,22 city/28 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,Gray/Red,,,,,,,,,,,,,,,,
2017,Honda,CR-V EX,18998,102000,28 city/34 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Tan,,,,,,,,,,,,,,,,
2015,Honda,Accord LX,14998,128000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gold/Tan,,,,,,,,,,,,,,,,
2021,Honda,Pilot EX-L,25998,85000,20 city/27 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Pearl/Tan,,,,,,,,,,,,,,,,
2017,Honda,HR-V EX,19998,56000,27 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2021,Honda,Passport EX-L,27998,47000,19 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V LX,26998,19000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2020,Honda,Accord LX,21998,69000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2016,Honda,Accord LX,19998,57000,27 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2022,Honda,Pilot Special Edition,33998,35000,19 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2018,Honda,Accord EX-L,25998,34000,23 city/34 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2017,Honda,Fit LX,17998,54000,33 city/40 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2020,Honda,Odyssey EX,30998,39000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2021,Honda,Pilot Elite,38998,15000,19 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2014,Honda,CR-V EX-L,17998,73000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Burgundy/Gray,,,,,,,,,,,,,,,,
2019,Honda,Civic LX,20998,53000,30 city/38 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2019,Honda,HR-V LX,21998,17000,27 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2017,Honda,Accord Hybrid EX-L,21998,68000,49 city/47 hwy,4-cyl,Hybrid,Front Wheel Drive,Automatic,Black/Champagne,,,,,,,,,,,,,,,,
2015,Honda,Civic LX,14998,90000,30 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX,25998,30000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2023,Honda,Civic Type R,44998,14000,22 city/28 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,White/Red,,,,,,,,,,,,,,,,
2014,Honda,CR-V LX,14998,94000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2016,Honda,Pilot Elite,21998,100000,19 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2015,Honda,Odyssey EX-L,19998,94000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2013,Honda,CR-V EX-L,14998,123000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2014,Honda,CR-V LX,18998,42000,22 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Gray,,,,,,,,,,,,,,,,
2019,Honda,CR-V EX,25998,48000,27 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2018,Honda,CR-V LX,23998,24000,25 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Burgundy/Black,,,,,,,,,,,,,,,,
2021,Honda,Passport Sport,26998,33000,19 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,36998,21000,40 city/34 hwy,4-cyl,Hybrid,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2024,Honda,HR-V LX,27998,7000,25 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2021,Honda,CR-V EX-L,29998,25000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX-L,25998,57000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Tan,,,,,,,,,,,,,,,,
2015,Honda,Accord LX,15998,95000,24 city/34 hwy,4-cyl,Gas,Front Wheel Drive,Manual 6 Speed,Silver/Black,,,,,,,,,,,,,,,,
2019,Honda,Odyssey Elite,30998,68000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2016,Honda,Civic EX-T,18998,93000,31 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2018,Honda,Civic EX-T,19998,59000,32 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Black/Gray,,,,,,,,,,,,,,,,
2018,Honda,Civic LX,17998,64000,31 city/40 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2020,Honda,HR-V LX,20998,38000,27 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Gray,,,,,,,,,,,,,,,,
2020,Honda,Civic SI,23998,79000,26 city/36 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,Black/Black,,,,,,,,,,,,,,,,
2022,Honda,HR-V LX,21998,35000,28 city/34 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2022,Honda,CR-V EX,27998,43000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2021,Honda,Civic Sport,24998,19000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2019,Honda,CR-V EX-L,25998,43000,28 city/34 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2023,Honda,Odyssey Touring,43998,14000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2021,Honda,Civic EX,23998,44000,31 city/40 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2019,Honda,Civic EX,21998,52000,32 city/42 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2016,Honda,Pilot EX-L,20998,95000,18 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2015,Honda,Accord EX-L,18998,62000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Burgundy/Tan,,,,,,,,,,,,,,,,
2016,Honda,CR-V EX,23998,13000,26 city/33 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Tan,,,,,,,,,,,,,,,,
2020,Honda,Civic LX,21998,13000,30 city/38 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2020,Honda,Accord Touring,26998,56000,22 city/32 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX,25998,56000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2016,Honda,Odyssey EX-L,18998,117000,19 city/28 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Black/Gray,,,,,,,,,,,,,,,,
2018,Honda,Accord LX,21998,32000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Red/Tan,,,,,,,,,,,,,,,,
2023,Honda,CR-V EX-L,32998,25000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Tan,,,,,,,,,,,,,,,,
2024,Honda,CR-V Hybrid Sport-L,38998,10000,40 city/34 hwy,4-cyl,Hybrid,All Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2024,Honda,Civic Type R,48998,3000,22 city/28 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Manual 6 Speed,White/Red,,,,,,,,,,,,,,,,
2022,Honda,HR-V EX,24998,21000,27 city/29 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
2023,Honda,Civic EX-L,24998,45000,31 city/39 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
